Category,Service,Area of Work,Pricing Model,Certification,Type,Included,Possible extras,Conditions & Warnings
Small tasks,Cleaning,Upholstery Cleaning,Total price or per hour,No,Sofas; Carpets; Curtains; Leather,Vacuuming; Stain Treatment; Leather Care; Curtain Cleaning; Shampooing; Steam Cleaning; Flame Retardancy; Stain Guard; Leather Protection; Anti-Allergy Treatment; upholstery Quantity range; range m2 cleaning area,Flame Retardancy; Stain Guard; Leather Protection; Anti-Allergy Treatment,Drying Time Required
Small tasks,Cleaning,Laundry Services,Total price or per piece,No,Ironing; Wash & Fold; Dry Cleaning,Washing Drying; Stain Removal; Specialist Cleaning; Folding Packaging; Shoe Cleaning; Fabric Care; Anti-Bacterial Treatment; Collection Delivery; Minor Repairs; Item Quantity range,Fabric Care; Anti-Bacterial Treatment; Collection Delivery; Minor Repairs,Material Sensitivity
Small tasks,Moving Services,Not applicable,Total price or per hour,No,Loading Unloading; Man & Van; Piano Movers; Packing,Furniture Handling; Protective Wrapping; Transportation; Goods Lift Operation; Waste Removal; Packing Service; Unpacking Service; Standard Lift; Packing Materials; Furniture Assembly; Specialist Moves; Storage Rental; Premium Packing; Out-of-Hours; range m3 material; m3 Vehicle Size; Building Type; lifting Weight Limit,Furniture Assembly; Specialist Moves; Storage Rental; Premium Packing; Out-of-Hours,Parking Suspension Required
Small tasks,Organizer,Not applicable,Total price or per hour,No,Decluttering; Office Organising; Packing Unpacking,Sorting Categorising; Storage Systems; Labelling; Kitchen Organising; Filing Systems; Packing Unpacking; Storage Advice; Basic Cleaning; Digital Archiving; Interior Design Advice; Shelving Installation; Decluttering Coaching; range m3 material,Digital Archiving; Interior Design Advice; Shelving Installation; Decluttering Coaching,Client Presence Required
Small tasks,Handyman,Not applicable,Total price or per hour,No,Furniture Building; Picture Hanging; Small Repairs,Flat-Pack Assembly; Wall Mounting; Appliance Installation; Minor Repairs; Silicone Replacement; Touch-Up Painting; Skirting Installation; Basic Fixing; Materials Supply; Furniture Collection; Custom Modifications; lifting Weight Limit,Materials Supply; Furniture Collection; Custom Modifications,No Structural Work
Inspections,Oil Tank Inspection,Not applicable,Total price,Yes,Above-Ground Tank; Buried Tank,Visual Inspection; Leak Test; Pipework Check; Inspection Report; Minor Repairs; Replacement Advice; Tank Cleaning,Minor Repairs; Tank Cleaning; Replacement Advice,Tank Access Required; Tank Emptying Required
Inspections,Boiler Service,Not applicable,Total price,Yes,Gas Boiler; Oil Boiler,Burner Cleaning; Safety Checks; Flue Check; Basic Service; Landlord Certificate; Component Replacement,Component Replacement,Boiler Access Required
Inspections,Gas Safety Check,Not applicable,Total price,Yes,CP12 Certificate; New Installation,Pipework Inspection; Tightness Testing; Appliance Check; Safety Certificate; Installation Report; Minor Repairs; range m2 Site Survey Area,Installation Report; Minor Repairs,Appliance Access Required
Inspections,Electrical Installation Condition Report,Not applicable,Total price,Yes,EICR; New Installation; Solar,Visual Inspection; Earth Loop Test; Consumer Unit Check; EICR Certificate; Basic Testing; Remedial Work; Expedited Report,Remedial Work; Expedited Report,Safe Isolation Required; Circuit Diagrams Needed
Inspections,Home Survey,Not applicable,Total price,Yes,EICR; Asbestos Survey; EPC; Inventory,Site Visit; Visual Inspection; Sampling; Lab Analysis; Asbestos Report; Removal Advice; Risk Assessment; Digital Survey; Detailed Assessment; Remediation Support; Fast-Track Report; range m2 Site Survey Area; Building Type; Building Measurement; EPC Calculation; EPC Certificate; Improvement Advice; Renovation Modelling; Fast-Track EPC; Electrical Inspection; Condition Report; Fast-Track Completion; 360° Photos; Video Report; Dispute Support,Digital Survey; Detailed Assessment; Remediation Support; Remedial Work; Improvement Advice; Renovation Modelling; 360° Photos; Video Report; Dispute Support,Full Property Access; Installation De-Energising Required
Renovation,Full Renovation,Not applicable,RFQ only,No,Terraced House; Semi-Detached House; Detached House; Studio; Flat; Commercial Unit; Industrial Unit; Storage Unit,Full Strip-Out; Structural Alterations; Roofing Works; MEP Installation; Finishes Installation; Decoration; Window Door Installation; Sanitary HVAC Installation; Interior Exterior Finishing; Energy Efficiency Upgrades; Standard Materials; Interior Design; High-End Finishes; Renewable Systems; Extension Works; range m2 Area; Building Type,Interior Design; High-End Finishes; Renewable Systems; Extension Works,Planning Permission Required; Structural Engineer Required
Renovation,Bathroom Installation,Not applicable,RFQ only,No,Suite Only; Cosmetic Update; Full Refurb,Bathroom Strip-Out; New Suite Installation; New Pipework; Tiling; Finishing; Ventilation Installation; Walk-in Shower; Lead-Free Pipes; Wellness Features; Water-Saving Fixtures; range m2 Area,Walk-in Shower; Lead-Free Pipes; Wellness Features; Water-Saving Fixtures,Condensation Risk
Renovation,Kitchen Installation,Not applicable,RFQ only,No,Carcass Only; Cosmetic Update; Full Refurb,Kitchen Strip-Out; Cabinet Worktop Installation; Appliance Connection; New Power Points; Floor Wall Finishing; Extraction Installation; Standard Carcasses; Bespoke Kitchen; Smart Appliances; Kitchen Island; Smart Lighting; range m2 Area,Bespoke Kitchen; Smart Appliances; Kitchen Island; Smart Lighting,Building Regs Compliance
Renovation,Loft Conversion,Not applicable,RFQ only,No,Storage Loft; Habitable Room; Full Conversion,Loft Insulation; Partitioning; Rooflight Installation; Heating Cooling; Floor Finishing; Bathroom Kitchen; Storage Solutions; range m2 Area,Bathroom Kitchen; Storage Solutions,Building Control Approval
Renovation,Room & Office Refurbishment,Not applicable,RFQ only,No,Redecorate; Reconfigure; Full Refurb,Decoration; Flooring; Power Data; Partitioning; Ventilation AC; Acoustic Upgrades; Fitted Furniture; Soundproofing; BMS Integration; AC Heat Pump; range m2 Area,Soundproofing; BMS Integration; AC Heat Pump,Fire Regulations Compliance
Renovation,Basement Conversion,Not applicable,RFQ only,No,Tanking; Finishing; Full Conversion,Waterproofing; Floor Wall Finishing; Ventilation Installation; Storage Solutions; Living Space Creation; Electrical Upgrade; Full Fit-Out; Wellness Room; Staircase Renewal; range m2 Area,Full Fit-Out; Wellness Room; Staircase Renewal,Structural Assessment Required
